STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090917,3,-9999,183,139,46,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090918,0,-9999,250,144,51,320,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090919,0,-9999,217,128,33,330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090920,0,-9999,239,139,26,160,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090921,0,-9999,244,161,29,160,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090922,0,-9999,239,189,31,170,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090923,0,-9999,278,206,31,160,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090924,5,-9999,278,200,49,330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090925,0,-9999,206,150,55,360,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090926,20,-9999,189,128,43,110,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090927,244,-9999,206,156,34,250,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090928,56,-9999,233,156,56,170,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090929,0,-9999,200,144,66,240,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090930,0,-9999,156,106,67,290,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20091001,0,-9999,139,106,47,290,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20091002,5,-9999,189,94,36,160,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
